chct-00332	FACT CHECK: Is Hurricane Irma The 'Most Powerful' Atlantic Storm On Record?	verdict: true	http://checkyourfact.com/2017/09/07/fact-check-is-hurricane-irma-the-most-powerful-atlantic-storm-on-record/	None	None	None	David Sivak | Fact Check Editor	None	None	1:56 PM 09/07/2017	None	['None']
chct-00172	FACT CHECK: Does The US Have Trade Deficits With 'Almost All' Countries?	verdict: false	http://checkyourfact.com/2018/03/21/fact-check-us-trade-deficits-almost-all-countries/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	4:39 PM 03/21/2018	None	['None']
chct-00006	FACT CHECK: Can Trump End Birthright Citizenship With An Executive Order?	verdict: unsubstantiated	http://checkyourfact.com/2018/11/01/fact-check-trump-birthright-citizenship-executive-order/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	4:43 PM 11/01/2018	None	['None']
chct-00092	FACT CHECK: Did John Brennan Once Vote For The Communist Party?	verdict: true	http://checkyourfact.com/2018/07/19/fact-check-brennan-vote-communist/	None	None	None	David Sivak | Fact Check Editor	None	None	1:22 PM 07/19/2018	None	['None']
chct-00248	FACT CHECK: Is There 'No Evidence' Tax Cuts Lead To Economic Growth?	verdict: false	http://checkyourfact.com/2017/12/22/fact-check-is-there-no-evidence-tax-cuts-lead-to-economic-growth/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	11:11 AM 12/22/2017	None	['None']
chct-00046	FACT CHECK: Did The GOP’s Pick To Question Kavanaugh's Accuser Work For Sheriff Joe Arpaio?	verdict: false	http://checkyourfact.com/2018/09/26/fact-check-kavanaugh-mitchell-ford-arpaio/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	6:41 PM 09/26/2018	None	['Republican_Party_(United_States)']
chct-00059	FACT CHECK: Was Rick Perry In Russia On 9/11?	verdict: false	http://checkyourfact.com/2018/09/13/fact-check-rick-perry-russia-9-11/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	9:12 AM 09/13/2018	None	['Russia']
chct-00104	FACT CHECK: Is Trump The First Republican To Win Wisconsin Since 1952?	verdict: false	http://checkyourfact.com/2018/06/30/fact-check-trump-republican-wisconsin-1952/	None	None	None	David Sivak | Fact Check Editor	None	None	9:16 AM 06/30/2018	None	['None']
chct-00168	FACT CHECK: Did Lawmakers Have Less Than A Minute Per Page To Read The Omnibus Before Voting?	verdict: true	http://checkyourfact.com/2018/03/24/fact-check-less-than-minute-per-page-omnibus/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	12:56 PM 03/24/2018	None	['None']
chct-00100	FACT CHECK: Was American Independence Actually Declared On July 2?	verdict: true	http://checkyourfact.com/2018/07/04/fact-check-independence-declared-july-2/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	10:11 AM 07/04/2018	None	['None']
chct-00312	FACT CHECK: Does Obamacare Allow States To Waive Protections For Pre-Existing Conditions?	verdict: false	http://checkyourfact.com/2017/09/27/fact-check-does-obamacare-allow-states-to-waive-protections-for-pre-existing-conditions/	None	None	None	David Sivak | Fact Check Editor	None	None	5:30 PM 09/27/2017	None	['None']
chct-00028	FACT CHECK: Did Beto O’Rourke Raise More In A Single Quarter Than Jeb Bush’s Entire Presidential Campaign?	verdict: true	http://checkyourfact.com/2018/10/15/fact-check-beto-orourke-jeb-bush-campaign/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	10:42 PM 10/15/2018	None	['None']
chct-00324	FACT CHECK: Do 92% Of Americans Support DACA?	verdict: false	http://checkyourfact.com/2017/09/15/fact-check-do-92-of-americans-support-daca/	None	None	None	David Sivak | Fact Check Editor	None	None	4:04 PM 09/15/2017	None	['None']
chct-00246	FACT CHECK: Will The Trump Family Save $1 Billion Under The GOP Tax Plan?	verdict: false	http://checkyourfact.com/2017/12/22/fact-check-will-the-trump-family-save-1-billion-under-the-gop-tax-plan/	None	None	None	Kush Desai | Fact Check Reporter	None	None	10:37 PM 12/22/2017	None	['None']
