pose-00361	"Will bolster our military's ability to speak different languages, navigate different cultures, and coordinate complex missions with our civilian agencies."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/380/bolster-the-militarys-ability-to-speak-different-/	None	obameter	Barack Obama	None	None	Bolster the military's ability to speak different languages	2010-01-07T13:26:56	None	['None']
pose-00911	"Bob Buckhorn will fight in Washington and Tallahassee to obtain funding for the expansion of the STAR program to each of the city’s neighborhoods."	promise kept	https://www.politifact.com/florida/promises/buck-o-meter/promise/943/work-to-obtain-funding-for-the-reclaimed-water-pro/	None	buck-o-meter	Bob Buckhorn	None	None	Work to obtain funding for the reclaimed water program for the city's neighborhoods	2011-05-18T14:33:25	None	['Bob_Buckhorn', 'Washington,_D.C.', 'Tallahassee,_Florida']
pose-00749	"Raise (education) standards for everybody. We should bring the curriculum in line with international norms. We're not competing with Indiana. We're competing with India."	in the works	https://www.politifact.com/ohio/promises/kasich-o-meter/promise/779/raise-education-standards/	None	kasich-o-meter	John Kasich	None	None	Raise education standards	2011-01-07T15:00:14	None	['Indiana', 'India']
pose-00320	"Will use the ISS for fundamental biological and physical research to understand the effects of long-term space travel on human health and to test emerging technologies to enable such travel."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/337/use-the-international-space-station-for-fundamenta/	None	obameter	Barack Obama	None	None	Use the International Space Station for fundamental biological and physical research	2010-01-07T13:26:55	None	['None']
pose-00949	"Bob McDonnell will improve the budget system by implementing a budget process that rewards effective programs and allocates future spending based upon that effectiveness."	compromise	https://www.politifact.com/virginia/promises/bob-o-meter/promise/983/fund-programs-based-on-effectiveness/	None	bob-o-meter	Bob McDonnell	None	None	Fund programs based on effectiveness	2011-09-09T12:56:22	None	['Bob_McDonnell']
pose-00194	"Barack Obama and Joe Biden will lead a diplomatic effort to bring together Turkish and Iraqi Kurdish leaders and negotiate a comprehensive agreement that deals with the PKK threat, guarantees Turkey's territorial integrity, and facilitates badly needed Turkish investment in and trade with the Kurds of northern Iraq. Barack Obama and Joe Biden will support the promotion of democracy, human rights, and freedom of expression in Turkey and support its efforts to join the European Union."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/208/improve-relations-with-turkey-and-its-relations-w/	None	obameter	Barack Obama	None	None	Improve relations with Turkey, and its relations with Iraqi Kurds	2010-01-07T13:26:51	None	['Iraq', 'Iraqi_Kurdistan', 'European_Union', 'Joe_Biden', 'Barack_Obama', 'Kurdistan']
pose-00724	Will "reform Oregon’s kicker law (which refunds state surpluses in excess of 2 percent of projected revenues to taxpayers). Before money goes back to taxpayers, it should first fill a reserve fund that will protect Oregonians from service cuts or tax increases during recessions. This is the most immediate way to ensure stable funding for education and other programs in the face of cyclical tax revenues."	stalled	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/754/reform-oregons-kicker-law/	None	kitz-o-meter	John Kitzhaber	None	None	Reform Oregon's kicker law	2011-01-04T21:58:42	None	['Oregon_Territory', 'Oregon']
pose-00901	"As mayor, Bob Buckhorn will encourage public safety officers to reside in the city by implementing a residency incentive program. This program will provide police officers incentives such as low-interest loans, or down payment assistance."	promise broken	https://www.politifact.com/florida/promises/buck-o-meter/promise/933/start-an-incentive-program-to-encourage-police-to/	None	buck-o-meter	Bob Buckhorn	None	None	Start an incentive program to encourage police to live in the city	2011-05-18T14:33:25	None	['Bob_Buckhorn']
pose-00885	"As County Executive, I’ll freeze the executive office budget and cut perks like cars and cell phones."	promise kept	https://www.politifact.com/wisconsin/promises/abele-o-meter/promise/917/freeze-executive-office-spending-cut-perks/	None	abele-o-meter	Chris Abele	None	None	Freeze executive office spending, cut perks	2011-05-11T10:21:33	None	['None']
pose-00005	Expand the earned income tax credit for workers without children and taxpayers with more than three children. Equalize threshholds for married filers and head of household filers.	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/5/expand-the-earned-income-tax-credit/	None	obameter	Barack Obama	None	None	Expand the earned income tax credit	2010-01-07T13:26:45	None	['None']
