tron-00727	Pat Sajak Tweet Stirs Up The Global Warming Hornets Nest	truth!	https://www.truthorfiction.com/pat-sajak-global-warming-tweet/	None	celebrities	None	None	None	Pat Sajak Tweet Stirs Up The Global Warming Hornets Nest	Mar 17, 2015	None	['None']
tron-01609	Jessie Jackson Jr. is Eligible to Receive Benefits and Pension	truth!	https://www.truthorfiction.com/jessie-jackson-jr-090513/	None	government	None	None	None	Jessie Jackson Jr. is Eligible to Receive Benefits and Pension	Mar 17, 2015	None	['None']
tron-03422	Joel Osteen’s Biblically Incorrect Facebook Post	truth!	https://www.truthorfiction.com/osteen-facebook-flub/	None	religious	None	None	None	Joel Osteen’s Biblically Incorrect Facebook Post	Mar 17, 2015	None	['None']
tron-00610	ABC Cancels “Last Man Standing” Because of Tim Allen’s Conservative Views	unproven!	https://www.truthorfiction.com/abc-cancels-last-man-standing-tim-allens-trump-support/	None	celebrities	None	None	['celebrities', 'entertainment', 'liberal agenda', 'media']	ABC Cancels “Last Man Standing” Because of Tim Allen’s Conservative Views	May 12, 2017	None	['None']
tron-03248	“The President Who Has Done the Most Damage” by Dennis Prager	confirmed authorship!	https://www.truthorfiction.com/dennis-prager-obama-damage/	None	politics	None	None	None	“The President Who Has Done the Most Damage” by Dennis Prager	Mar 17, 2015	None	['None']
tron-02485	Corpus Christi Movie Featured a Gay Jesus	fiction!	https://www.truthorfiction.com/corpus-christi/	None	miscellaneous	None	None	None	Corpus Christi Movie Featured a Gay Jesus	Mar 17, 2015	None	['None']
tron-02545	Volkswagen has been working on a car that gets 258 miles to the gallon	truth! & fiction!	https://www.truthorfiction.com/vwl1/	None	miscellaneous	None	None	None	Volkswagen has been working on a car that gets 258 miles to the gallon	Mar 17, 2015	None	['None']
tron-01148	Don’t flash your headlights at other motorists	fiction!	https://www.truthorfiction.com/ganglights/	None	crime-police	None	None	None	Don’t flash your headlights at other motorists	Mar 17, 2015	None	['None']
tron-00249	President Obama’s Policies Will Establish a Country Within a Country for Illegal Immigrants	unproven!	https://www.truthorfiction.com/president-obamas-policies-will-establish-a-country-within-a-country-for-illegal-immigrants/	None	9-11-attack	None	None	None	President Obama’s Policies Will Establish a Country Within a Country for Illegal Immigrants	Mar 17, 2015	None	['Barack_Obama']
tron-00726	Nickelodeon Network Cancelling Sponge Bob Squarepants	fiction!	https://www.truthorfiction.com/save-spongebob/	None	celebrities	None	None	None	Nickelodeon Network Cancelling Sponge Bob Squarepants	Mar 17, 2015	None	['None']
tron-02514	Neil Boortz Graduation Speech	truth! & fiction!	https://www.truthorfiction.com/boortz/	None	miscellaneous	None	None	None	Neil Boortz Graduation Speech	Mar 17, 2015	None	['None']
tron-00614	Oprah Said Old White People Must Die to End Racism	truth! & fiction!	https://www.truthorfiction.com/oprah-said-old-white-people-must-die/	None	celebrities	None	None	['barack obama', 'celebrities', 'race relations']	Oprah Said Old White People Must Die to End Racism	Mar 13, 2017	None	['None']
tron-01332	Coca-Cola Has Recalled Dasani Water Due to Parasite Worms	fiction!	https://www.truthorfiction.com/coca-cola-recalled-dasani-water-due-parasite-worms/	None	food	None	None	None	Coca-Cola Has Recalled Dasani Water Due to Parasite Worms	Apr 19, 2016	None	['None']
tron-02413	Lt. Colonel Matthew Dooley’s Class on Radical Islam Jeopardized His Career	truth!	https://www.truthorfiction.com/matthew-dooley/	None	military	None	None	None	Lt. Colonel Matthew Dooley’s Class on Radical Islam Jeopardized His Career	Mar 17, 2015	None	['None']
tron-01933	Sensible Gun Control	fiction!	https://www.truthorfiction.com/sensible-gun-control/	None	humorous	None	None	None	Sensible Gun Control	Mar 17, 2015	None	['None']
tron-02961	Maureen Dowd: Election Therapy from My Basket of Deplorables	authorship confirmed!	https://www.truthorfiction.com/maureen-dowd-election-therapy-basket-deplorables/	None	politics	None	None	['2016 election', 'donald trump', 'hillary clinton', 'liberal agenda', 'media']	Maureen Dowd: Election Therapy from My Basket of Deplorables	Dec 13, 2016	None	['None']
