bove-00140	Was Tom Moody Trolled By Communist Supporters From Kerala On Facebook? A FactCheck	none	https://www.boomlive.in/was-tom-moody-trolled-by-left-wing-supporters-from-kerala-on-facebook-a-factcheck/	None	None	None	None	None	Was Tom Moody Trolled By Communist Supporters From Kerala On Facebook? A FactCheck	Nov 21 2017 6:28 pm, Last Updated: Nov 23 2017 12:13 pm	None	['None']
bove-00110	2) CLAIM: Congress is 100% responsible for NPAs	none	https://www.boomlive.in/npas-are-congress-sin-says-pm-modi-a-factcheck/	None	None	None	None	None	NPAs Are Congress’ Sin Says PM Modi: A FactCheck	Feb 08 2018 8:56 pm, Last Updated: Feb 08 2018 11:11 pm	None	['None']
bove-00218	FactChecking Prime Minister Narendra Modi’s 8 I-Day Promises Over 3 Years	none	https://www.boomlive.in/factchecking-prime-minister-narendra-modis-8-i-day-promises-over-3-years/	None	None	None	None	None	FactChecking Prime Minister Narendra Modi’s 8 I-Day Promises Over 3 Years	Aug 15 2017 10:56 am, Last Updated: Aug 15 2017 2:05 pm	None	['None']
bove-00171	It’s Not Mass Panic, It’s Crowd Science: How To Escape A Stampede	none	https://www.boomlive.in/its-not-mass-panic-its-crowd-science-how-to-escape-a-stampede/	None	None	None	None	None	It’s Not Mass Panic, It’s Crowd Science: How To Escape A Stampede	Sep 30 2017 9:00 am	None	['None']
bove-00087	Did Rahul Gandhi Say SC/ST Act Has Been Scrapped? A FactCheck	none	https://www.boomlive.in/did-rahul-gandhi-say-sc-st-act-has-been-scrapped-a-factcheck/	None	None	None	None	None	Did Rahul Gandhi Say SC/ST Act Has Been Scrapped? A FactCheck	Apr 05 2018 7:58 pm, Last Updated: Apr 09 2018 11:43 am	None	['None']
bove-00159	Fact Vs Fiction: Did Narendra Modi Sell Tea & Did Rahul Gandhi Enter A Women’s Toilet?	none	https://www.boomlive.in/fact-vs-fiction-did-narendra-modi-sell-tea-did-rahul-gandhi-enter-a-womens-toilet36662-2/	None	None	None	None	None	Fact Vs Fiction: Did Narendra Modi Sell Tea & Did Rahul Gandhi Enter A Women’s Toilet?	Oct 19 2017 5:10 pm, Last Updated: Nov 06 2017 12:10 pm	None	['None']
bove-00028	Army Man Behind The Viral Kerala Floods Video: Is He An ‘Imposter’?	none	https://www.boomlive.in/army-man-behind-the-viral-kerala-floods-video-is-he-an-imposter/	None	None	None	None	None	Army Man Behind The Viral Kerala Floods Video: Is He An ‘Imposter’?	Aug 20 2018 1:10 pm	None	['None']
bove-00100	BJP’s H Raja Tweets Moral Policing Protest Photo From Delhi As IIT Madras	none	https://www.boomlive.in/bjps-h-raja-tweets-moral-policing-protest-photo-from-delhi-as-iit-madras/	None	None	None	None	None	BJP’s H Raja Tweets Moral Policing Protest Photo From Delhi As IIT Madras	Feb 28 2018 5:27 pm, Last Updated: Mar 01 2018 1:21 pm	None	['Delhi']
bove-00069	BJP Revives Rajiv Gandhi’s 1984 Speech Video Justifying Sikh Riots	none	https://www.boomlive.in/bjp-revives-rajiv-gandhis-1984-speech-video-justifying-sikh-riots/	None	None	None	None	None	BJP Revives Rajiv Gandhi’s 1984 Speech Video Justifying Sikh Riots	May 22 2018 9:40 pm, Last Updated: May 22 2018 9:42 pm	None	['None']
bove-00228	No Night On August 12, Say WhatsApp Forwards: Separating Space News From Junk News	none	https://www.boomlive.in/no-night-on-august-12-say-whatsapp-forwards-separating-space-news-from-junk-news/	None	None	None	None	None	No Night On August 12, Say WhatsApp Forwards: Separating Space News From Junk News	Aug 07 2017 5:45 pm, Last Updated: Aug 16 2017 1:45 pm	None	['None']
bove-00098	Karnataka CM’s Twitter Handle Tweeted A Photo From Germany For The Shakti Sthala Project	none	https://www.boomlive.in/karnataka-cms-twitter-handle-tweeted-a-photo-from-germany-for-the-shakti-sthala-project/	None	None	None	None	None	Karnataka CM’s Twitter Handle Tweeted A Photo From Germany For The Shakti Sthala Project	Mar 05 2018 5:26 pm, Last Updated: Mar 10 2018 1:33 am	None	['Germany']
bove-00226	Arun Jaitley Claims More Violence In Kerala During Left Rule: Is It True?	none	https://www.boomlive.in/arun-jaitley-claims-more-violence-in-kerala-during-left-rule-is-it-true/	None	None	None	None	None	Arun Jaitley Claims More Violence In Kerala During Left Rule: Is It True?	Aug 08 2017 2:31 pm, Last Updated: Aug 08 2017 2:48 pm	None	['None']
bove-00038	Assam NRC Row: All You Need To Know	none	https://www.boomlive.in/assam-nrc-row-all-you-need-to-know/	None	None	None	None	None	Assam NRC Row: All You Need To Know	Aug 02 2018 6:28 pm, Last Updated: Aug 02 2018 8:45 pm	None	['None']
bove-00097	Fact Vs Fiction: Cadbury Chocolates Contaminated With HIV?	none	https://www.boomlive.in/fact-vs-fiction-cadbury-chocolates-contaminated-hiv/	None	None	None	None	None	Fact Vs Fiction: Cadbury Chocolates Contaminated With HIV?	Mar 10 2018 1:09 pm	None	['None']
bove-00040	CNBCTV18 Tweets Incorrect Assam Demographic Data, Deletes Later	none	https://www.boomlive.in/cnbctv18-tweets-incorrect-assam-demographic-data-deletes-later/	None	None	None	None	None	CNBCTV18 Tweets Incorrect Assam Demographic Data, Deletes Later	Jul 31 2018 8:47 pm	None	['None']
bove-00184	This Is A Cartoon, Not The Fly-Past For Marshal Of The IAF Arjan Singh	none	https://www.boomlive.in/this-is-a-cartoon-not-the-fly-past-for-marshal-of-the-iaf-arjan-singh/	None	None	None	None	None	This Is A Cartoon, Not The Fly-Past For Marshal Of The IAF Arjan Singh	Sep 20 2017 2:32 pm, Last Updated: Sep 20 2017 9:32 pm	None	['None']
bove-00146	CLAIM: Saudi Arabia Beheads First Female Robot Citizen	rating: false	https://www.boomlive.in/fake-news-saudi-arabia-did-not-behead-its-first-female-robot-citizen/	FACT: Duffel Blog, the website that published the story, is a satirical or parody website in the U.S. It is also known as the military version of ‘The Onion’.	None	None	None	None	FAKE NEWS: Saudi Arabia Did Not Behead Its First Female Robot Citizen	Nov 11 2017 9:12 am, Last Updated: Nov 17 2017 6:28 pm	None	['None']
bove-00212	SC Bars Instant Talaq Not Triple Talaq: All You Need To Know About Muslim Divorces	none	https://www.boomlive.in/sc-bars-instant-talaq-not-triple-talaq-all-you-need-to-know-about-muslim-divorces/	None	None	None	None	None	SC Bars Instant Talaq Not Triple Talaq: All You Need To Know About Muslim Divorces	Aug 22 2017 5:22 pm, Last Updated: Aug 22 2017 6:47 pm	None	['None']
bove-00256	In 2013, It Was Not Sushma Vs Meira But Sushma Vs Sonia: A FactCheck	none	https://www.boomlive.in/in-2013-it-was-not-sushma-vs-meira-but-sushma-vs-sonia-a-factcheck/	None	None	None	None	None	In 2013, It Was Not Sushma Vs Meira But Sushma Vs Sonia: A FactCheck	Jun 30 2017 5:46 pm, Last Updated: Jul 10 2017 3:40 pm	None	['None']
bove-00054	Airtel ‘Bigotry’ Row: The Gaganjot Tweet To Pooja That Everyone Missed	none	https://www.boomlive.in/airtel-bigotry-row-the-gaganjot-tweet-to-pooja-that-everyone-missed/	None	None	None	None	None	Airtel ‘Bigotry’ Row: The Gaganjot Tweet To Pooja That Everyone Missed	Jun 21 2018 8:03 pm, Last Updated: Jun 21 2018 8:05 pm	None	['None']
bove-00265	Rape Cases Rise Under Modi Govt? How The Congress Got It Wrong	none	https://www.boomlive.in/rape-cases-rise-under-modi-govt-how-the-congress-got-it-wrong/	None	None	None	None	None	Rape Cases Rise Under Modi Govt? How The Congress Got It Wrong	May 24 2017 2:20 pm, Last Updated: Jun 16 2017 7:24 pm	None	['None']
bove-00216	Niagara Falls Illuminated In The Tricolour Is Not Fake But This Picture Is	none	https://www.boomlive.in/niagara-falls-illuminated-in-the-tricolour-is-not-fake-but-this-picture-is/	None	None	None	None	None	Niagara Falls Illuminated In The Tricolour Is Not Fake But This Picture Is	Aug 17 2017 9:03 pm, Last Updated: Aug 19 2017 10:31 am	None	['None']
bove-00132	Indian News Outlets Run Istanbul Hailstones Video As Cyclone Ockhi In Mumbai	none	https://www.boomlive.in/indian-news-outlets-run-istanbul-hailstones-video-as-cyclone-ockhi-in-mumbai/	None	None	None	None	None	Indian News Outlets Run Istanbul Hailstones Video As Cyclone Ockhi In Mumbai	Dec 05 2017 3:17 pm, Last Updated: Dec 15 2017 2:42 pm	None	['Mumbai']
bove-00045	Pakistani Ad Agency Behind Child Kidnapping Video Breaks Its Silence	none	https://www.boomlive.in/pakistani-ad-agency-behind-child-kidnapping-video-breaks-its-silence/	None	None	None	None	None	Pakistani Ad Agency Behind Child Kidnapping Video Breaks Its Silence	Jul 06 2018 4:15 pm, Last Updated: Jul 06 2018 4:42 pm	None	['None']
bove-00270	Plastic Cabbages From China In India? No, It’s Wax Food Display Replicas In Japan	none	https://www.boomlive.in/plastic-cabbage-from-china-in-india-no-its-wax-food-display-replicas-in-japan/	None	None	None	None	None	Plastic Cabbages From China In India? No, It’s Wax Food Display Replicas In Japan	May 11 2017 8:07 pm, Last Updated: Jun 16 2017 7:32 pm	None	['Japan', 'India']
bove-00274	Did Baahubali Actor Prabhas Donate Rs. 121 Crore To CRPF Jawans?	none	https://www.boomlive.in/did-baahubalis-prabhas-meet-pm-to-donate-rs-121-crore-to-crpf-jawans/	None	None	None	None	None	Did Baahubali Actor Prabhas Donate Rs. 121 Crore To CRPF Jawans?	May 05 2017 12:14 pm, Last Updated: May 05 2017 3:08 pm	None	['None']
bove-00182	Did A Woman Protester Throw A Shoe At PM Narendra Modi?	none	https://www.boomlive.in/did-a-woman-protester-throw-a-shoe-at-pm-narendra-modi/	None	None	None	None	None	Did A Woman Protester Throw A Shoe At PM Narendra Modi?	Sep 22 2017 7:30 pm, Last Updated: Sep 23 2017 9:27 pm	None	['None']
