snes-05718	Groucho Marx made a risqué wisecrack about his cigar to a female You Bet Your Life contestant with 19 children.	false	https://www.snopes.com/fact-check/the-secret-words/	None	Entertainment	None	David Mikkelson	None	The Secret Words	15 February 2001	None	['You_Bet_Your_Life', 'Groucho_Marx']
snes-04537	School is no longer compulsory for Texas students whose parents believe in the religious concept of Rapture.	false	https://www.snopes.com/fact-check/texas-rapture-schooling/	None	Politics	None	Kim LaCapria	None	Texas Rules Kids Don’t Need to Be Schooled If They Believe in Rapture	28 June 2016	None	['Texas']
snes-05482	Viral videos shows Ferrero Rocher chocolates crawling with maggots .	mixture	https://www.snopes.com/fact-check/ferrero-rocher-chocolates-maggots-video/	None	Food	None	Dan Evon	None	Ferrero Rocher Chocolates Filled with Maggots?	17 December 2015	None	['None']
snes-04637	Hillary Clinton purchased a $12,000 Giorgio Armani jacket to deliver a speech about income inequality.	mixture	https://www.snopes.com/fact-check/hillary-clinton-armani-jacket/	None	Politicians	None	Kim LaCapria	None	Hillary Clinton’s $12,000 Armani Jacket	8 June 2016	None	['Giorgio_Armani']
snes-00341	U.S. President Donald Trump told Prime Minister Theresa May he believes the terms "U.K.," "England" and "Great Britain" can be used interchangeably.	mixture	https://www.snopes.com/fact-check/trump-uk-different-names/	None	Politics	None	Bethania Palma	None	Did Donald Trump Say He Believes the UK Has ‘Different Names’?	16 July 2018	None	['United_States', 'United_Kingdom', 'England', 'Donald_Trump', 'Theresa_May']
snes-00813	Disney is opening a new resort and park in the Toronto Islands.	false	https://www.snopes.com/fact-check/is-disney-building-resort-toronto-islands/	None	Disney	None	Bethania Palma	None	Is Disney Building a Massive $6.5 Billion Resort in Toronto Islands?	3 April 2018	None	['Toronto_Islands']
snes-00295	In 1965 a 'grossly obese' man survived without eating for one year and 17 days, living entirely off his body fat and supplemental vitamins.	true	https://www.snopes.com/fact-check/survive-without-eating-382-days/	None	Medical	None	Alex Kasprak	None	Did an Obese Man Survive Without Eating for 382 Days?	25 July 2018	None	['None']
snes-05631	Actress Jennifer Aniston wrote that gay rights activists should be ashamed for comparing themselves to those who fought at Iwo Jima.	false	https://www.snopes.com/fact-check/jennifer-aniston-iwo-jima/	None	Junk News	None	Dan Evon	None	Did Jennifer Aniston Criticize Gay Rights Activists Over Iwo Jima Comparisons?	29 June 2015	None	['Jennifer_Aniston']
snes-01362	Police in Crawford County, Georgia forced local man Joe Nathan Goodwin, under threat of arrest, to cut off his own dog's head for rabies testing after police fatally shot the dog.	true	https://www.snopes.com/fact-check/georgia-police-dog-head/	None	Critter Country	None	Dan MacGuill	None	Did Police in Georgia Force a Man to Cut Off His Own Dog’s Head?	7 December 2017	None	['Georgia_(U.S._state)']
snes-00237	In August 2018, Vice President Mike Pence proposed using a planned U.S. "Space Force" to defend against attacks from "outer-space gays."	false	https://www.snopes.com/fact-check/mike-pence-gay-aliens/	None	Junk News	None	Dan MacGuill	None	Did Vice President Mike Pence Warn Against ‘Gay Aliens’?	10 August 2018	None	['United_States', 'Mike_Pence']
snes-06155	The Facebook group "Becoming a father or mother was the greatest gift of my life" was created by pedophiles to gain access to kids' photos.	false	https://www.snopes.com/fact-check/facebook-greatest-gift-group/	None	Computers	None	David Mikkelson	None	Facebook ‘Greatest Gift’ Group	20 May 2010	None	['None']
snes-06440	Was a Home Invasion Thwarted by an 11-Year-Old Girl?	false	https://www.snopes.com/fact-check/home-invasion-thwarted/	None	Crime	None	David Mikkelson	None	Was a Home Invasion Thwarted by an 11-Year-Old Girl?	2 May 2007	None	['None']
snes-05068	Donald Trump said in the good old days, protesters were harshly dealt with and carried away on stretchers.	mostly true	https://www.snopes.com/fact-check/donald-trump-kent-state/	None	Uncategorized	None	Kim LaCapria	None	Donald Trump ‘Protester’ Quote/Kent State Comparison	14 March 2016	None	['None']
snes-00297	All Christian churches in Dearborn, Michigan, have closed as 18 April 2018.	false	https://www.snopes.com/fact-check/all-dearborn-churches-close/	None	Junk News	None	David Mikkelson	None	Did All Christian Churches in Dearborn, Michigan, Close in April 2018?	25 July 2018	None	['Michigan']
snes-00169	Does This Photograph Show John McCain with Osama bin Laden?	false	https://www.snopes.com/fact-check/mccain-bin-laden-photo/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show John McCain with Osama bin Laden?	27 August 2018	None	['None']
snes-01209	In December 1915, San Diego agreed to pay $10,000 to "rainmaker" Charles Hatfield to bring an end to the region's drought; over the next few weeks the city was inundated by rain and suffered one of the worst floods in its history.	true	https://www.snopes.com/fact-check/san-diego-rainmaker/	None	History	None	David Emery	None	Did San Diego Hire a ‘Rainmaker’ to End a Drought in 1916?	15 January 2018	None	['San_Diego', 'Charles_Hatfield']
snes-00010	Did President Trump Board Air Force One with Paper Stuck to His Shoe?	true	https://www.snopes.com/fact-check/trump-paper-shoe/	None	Fauxtography	None	Dan MacGuill	None	Did President Trump Board Air Force One with Paper Stuck to His Shoe?	5 October 2018	None	['None']
snes-04056	The country of Sweden is officially moving to a 6-hour workday.	mostly false	https://www.snopes.com/fact-check/sweden-6-hour-workday/	None	Business	None	Dan Evon	None	Is Sweden Moving to a 6-Hour Workday?	12 September 2016	None	['Sweden']
snes-02120	Mass Grave of Dozens of Tortured Black Men Found in Deceased KKK Leader's Estate?	false	https://www.snopes.com/fact-check/mass-grave-kkk-estate/	None	Racial Rumors	None	Brooke Binkowski	None	Mass Grave of Dozens of Tortured Black Men Found in Deceased KKK Leader’s Estate?	2 July 2017	None	['None']
snes-05604	Margaret Sanger said "Slavs, Latin and Hebrew immigrants are human weeds" in need of eradication.	false	https://www.snopes.com/fact-check/margaret-sanger-weeds/	None	Politics	None	Kim LaCapria	None	Margaret Sanger Decries ‘Human Weeds’	31 July 2015	None	['Margaret_Sanger', 'Latin']
snes-01750	U.S. naval officer's letter describes a 'manning the rails' ceremony performed by a German destroyer.	true	https://www.snopes.com/fact-check/we-stand-by-you/	None	September 11th	None	David Mikkelson	None	‘We Stand by You’	9 November 2001	None	['United_States', 'Germany']
snes-06175	TLC's Lisa "Left-Eye" Lopes was murdered in a revenge killing.	false	https://www.snopes.com/fact-check/lisa-lopes/	None	Entertainment	None	Snopes Staff	None	Was Lisa Lopes Murdered?	22 May 2002	None	['None']
