goop-00724	Robert Pattinson, Sienna Miller Dating?	0	https://www.gossipcop.com/robert-pattinson-sienna-miller-dating/	None	None	None	Andrew Shuster	None	Robert Pattinson, Sienna Miller Dating?	9:48 am, June 29, 2018	None	['Robert_Pattinson']
goop-00670	Meghan Markle, Prince Harry Moving To Hollywood?	0	https://www.gossipcop.com/meghan-markle-prince-harry-moving-hollywood-false/	None	None	None	Shari Weiss	None	Meghan Markle, Prince Harry Moving To Hollywood?	1:57 pm, July 9, 2018	None	['None']
goop-00436	Did Jennifer Aniston Sue Over “Friends” Musical Parody?	0	https://www.gossipcop.com/jennifer-aniston-friends-musical-parody/	None	None	None	Shari Weiss	None	Did Jennifer Aniston Sue Over “Friends” Musical Parody?	2:12 pm, August 17, 2018	None	['None']
goop-02015	Jennifer Lawrence Headed For A Breakdown?	1	https://www.gossipcop.com/jennifer-lawrence-breakdown/	None	None	None	Shari Weiss	None	Jennifer Lawrence Headed For A Breakdown?	12:22 pm, December 18, 2017	None	['None']
goop-01551	Jennifer Aniston Upset After Justin Theroux “Cuddled” Naomi Watts, 	0	https://www.gossipcop.com/jennifer-aniston-justin-theroux-naomi-watts-hug-upset-false/	None	None	None	Michael Lewittes	None	Jennifer Aniston NOT Upset After Justin Theroux “Cuddled” Naomi Watts, Despite Report	3:06 pm, February 18, 2018	None	['Naomi_Watts', 'Jennifer_Aniston']
goop-02686	Ben Affleck Asking Jennifer Garner To “Get Back Together,” 	0	https://www.gossipcop.com/ben-affleck-not-asking-jennifer-garner-get-back-together/	None	None	None	Shari Weiss	None	Ben Affleck NOT Asking Jennifer Garner To “Get Back Together,” Despite Report	11:14 am, July 7, 2017	None	['Ben_Affleck']
goop-01798	Brad Pitt, Angelina Jolie’s Friends Think Kids Need Better Nannies Because They Keep Getting Hurt?	0	https://www.gossipcop.com/brad-pitt-angelina-jolie-kids-hurt-nannies-friends/	None	None	None	Andrew Shuster	None	Brad Pitt, Angelina Jolie’s Friends Think Kids Need Better Nannies Because They Keep Getting Hurt?	10:43 am, January 18, 2018	None	['Brad_Pitt', 'Angelina_Jolie']
goop-02848	Mariah Carey Did Dump Bryan Tanaka For Being Poor, 	0	https://www.gossipcop.com/mariah-carey-dump-bryan-tanaka-poor-money/	None	None	None	Holly Nicol	None	Mariah Carey Did NOT Dump Bryan Tanaka For Being Poor, Despite Report	8:38 am, April 20, 2017	None	['None']
goop-01874	Lady Gaga Friends Currently “Worried” About Her Health, 	2	https://www.gossipcop.com/lady-gaga-health-friends-not-worried/	None	None	None	Shari Weiss	None	Lady Gaga Friends NOT Currently “Worried” About Her Health, Despite Claims	4:26 pm, January 9, 2018	None	['None']
goop-00779	Paris Jackson “Dating Three Women At Same Time,” 	0	https://www.gossipcop.com/paris-jackson-dating-cara-delevingne-ashley-benson-caroline-damore-not-true/	None	None	None	Andrew Shuster	None	Paris Jackson NOT “Dating Three Women At Same Time,” Despite Report	5:49 pm, June 20, 2018	None	['None']
