para-00195	The Democratic Labour Party has "a position in their constitution that one should remain abstinent before marriage".	mostly false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/sep/05/fiona-patten/no-sex-you-minor-parties-slog-it-out-over-abstinen/index.html	None	['Election', 'Social Policy']	Fiona Patten	Michael Koziol, Peter Fray	None	No sex for you! Minor parties slog it out over abstinence	Thursday, September 5, 2013 at 8:34 a.m.	None	['None']
para-00076	Says companies with women on their boards of directors are more financially successful.	true	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/09/julie-collins/how-make-more-money-put-women-board/index.html	None	['gender equity']	Julie Collins	David Humphries, Peter Fray	None	How to make more money: put a women on the board	Friday, August 9, 2013 at 2:53 p.m.	None	['None']
para-00013	"Let’s face it, we’ve had the five biggest deficits in Australian history from Wayne Swan’s five budgets."	mostly false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/23/tony-abbott/abbott-says-swan-delivered-five-biggest-deficits-e/index.html	None	['Budget', 'Debt', 'Economy']	Tony Abbott	Michael Koziol, Peter Fray	None	Abbott says Wayne Swan delivered five biggest deficits ever	Wednesday, October 23, 2013 at 8:18 p.m.	None	['Australia']
para-00117	The Labor government is "already a lower taxing government" than the previous Coalition government.	mostly true	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/10/penny-wong/labor-taxes-lower-costellos/index.html	None	['Economy', 'Tax']	Penny Wong	Alix Piatek, David Humphries	None	We're lower taxing than Howard and Costello: Wong	Wednesday, July 10, 2013 at 11:22 a.m.	None	['Coalition_(Australia)', 'Australian_Labor_Party']
para-00059	Labor website is "a snapshot of the cuts we know Tony Abbott plans to make should he be elected".	mostly false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/23/penny-wong/cuts-costs-and-con-jobs-another-day-election-2013/index.html	None	['Campaign ads', 'Cost of living', 'Economy', 'Education', 'Employment', 'Health', 'Industrial relations']	Penny Wong	Peter Martin, Peter Fray	None	Cuts, costs and con-jobs: another day in election 2013	Friday, August 23, 2013 at 12:54 p.m.	None	['Tony_Abbott']
para-00152	Eighty-seven per cent of "illegal" boat people destroy their papers before coming to Australia.	false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/11/pauline-hanson/do-87-cent-boat-people-destroy-their-papers/index.html	None	['Asylum Seekers']	Pauline Hanson	Flynn Murphy, Peter Fray	None	Do 87 per cent of boat people destroy their papers?	Tuesday, June 11, 2013 at 3:31 p.m.	None	['Australia']
para-00067	"The truth about the Pacific Solution is that 70%, thereabouts, of those people sent by Mr Howard to Nauru and elsewhere as part of the Pacific Solution, used it as a wait station and within a couple of years were in Australia anyway."	false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/13/kevin-rudd/how-many-asylum-seekers-ended-austr/index.html	None	['Asylum Seekers']	Kevin Rudd	Ellie Harvey, Peter Fray	None	How many asylum seekers ended up in Australia via the Pacific Solution?	Tuesday, August 13, 2013 at 6:37 p.m.	None	['Australia', 'Nauru', 'John_Howard', 'Pacific_Solution']
para-00186	"Voters have a choice of two methods when voting for senators; ‘above the line’ and ‘below the line’."	half-true	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/sep/07/australian-electoral-commission/Voters-own-preference-Senate/index.html	None	['Voting']	Australian Electoral Commission	David Humphries, Alix Piatek, Peter Fray	None	Voters can exercise their own preference in the Senate	Saturday, September 7, 2013 at 8:30 a.m.	None	['None']
para-00136	The 960,000 jobs added under Labor are "a result of the actions of this government".	half-true	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/26/wayne-swan/Jobs-created-result-Labor-actions/index.html	None	['Economy']	Wayne Swan	David Humphries, Su-Lin Tan, Peter Fray	None	The 960,000 jobs added under Labor are "a result of the actions of this government".	Wednesday, June 26, 2013 at 6:06 p.m.	None	['None']
para-00129	[From July 1] Labor’s carbon tax goes up by 5 per cent.	mostly true	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/01/joe-hockey/hockey-says-carbon-price-goes-5-cent-today/index.html	None	['Carbon Tax']	Joe Hockey	Ellie Harvey, Peter Fray	None	Hockey says the carbon price goes up 5 per cent today	Monday, July 1, 2013 at 1:20 p.m.	None	['None']
